DATE,HOTEL_ID,DTA,LOS,BOOKING_DOW,BOOKINGS,GMV
2020-03-15,121324,0,1,Sun,1,73.1419136
2020-03-18,147732,0,1,Wed,1,27.2190464
2020-03-16,229038,0,1,Mon,1,80.3464704
2020-03-18,322835,0,1,Wed,1,55.600384
2020-03-09,153008,0,1,Mon,1,54.0259328
2020-03-09,191937,11,1,Mon,1,121.7767936
2020-03-06,119708,14,2,Fri,1,99.0090752
2020-03-09,312905,0,1,Mon,1,76.9832448
2020-03-03,152057,1,1,Tue,1,80.5525504
2020-03-09,602471,0,1,Mon,1,47.439616
2020-03-11,112872,0,2,Wed,1,293.828864
2020-03-09,240238,0,1,Mon,1,105.430528
2020-03-11,201676,0,1,Wed,2,101.2594688
2020-03-14,106655,0,1,Sat,2,179.0340608
2020-03-05,231694,0,1,Thu,1,68.0393728
2020-03-05,213092,7,2,Thu,1,185.4884864
2020-03-09,219501,1,1,Mon,1,42.8728832
2020-03-29,142372,0,1,Sun,1,52.385536
2020-03-27,414360,0,1,Fri,1,88.2764288
2020-03-16,117676,1,1,Mon,1,39.3365504
2020-03-21,111189,0,1,Sat,3,167.8150656
2020-03-27,240848,0,1,Fri,1,45.5601664
2020-03-08,324439,0,1,Sun,1,48.5029888
2020-03-22,163252,0,1,Sun,1,83.2398336
2020-03-28,128592,0,1,Sat,1,43.6807168
2020-03-19,161612,0,1,Thu,1,68.3855872
2020-03-13,109150,0,1,Fri,2,187.9284736
2020-03-17,480675,0,1,Tue,1,79.9920128
2020-03-02,239691,0,1,Mon,1,96.5608448
2020-03-08,125854,0,1,Sun,1,31.8352384
2020-03-25,167094,0,1,Wed,1,51.1160832
2020-03-01,432131,0,1,Sun,1,67.1326208
2020-03-30,308511,0,1,Mon,1,100.4516352
2020-03-01,178053,0,1,Sun,3,187.8542848
2020-03-22,117676,0,1,Sun,2,73.034752
2020-03-18,2145017,0,1,Wed,1,83.4788864
2020-03-16,169388,0,1,Mon,1,71.6416512
2020-03-25,215932,1,1,Wed,1,47.9589376
2020-03-18,150529,0,7,Wed,1,244.2212864
2020-03-26,108703,0,1,Thu,1,64.7338496
2020-03-22,495652,0,1,Sun,1,74.2547456
2020-03-20,106521,1,1,Fri,1,40.144384
2020-03-13,128782,1,1,Fri,1,62.771968
2020-03-09,106649,0,1,Mon,2,137.9994112
2020-03-07,124934,0,1,Sat,1,123.689216
2020-03-14,108142,0,1,Sat,2,132.5753856
2020-03-14,107901,1,1,Sat,1,138.4115712
2020-03-28,308719,0,2,Sat,1,148.7238144
2020-03-14,169920,0,1,Sat,2,179.5533824
2020-03-11,105740,2,1,Wed,1,96.8493568
2020-03-14,106993,0,1,Sat,1,78.4422912
2020-03-11,202243,10,2,Wed,1,127.4563584
2020-03-15,134761,3,1,Sun,1,42.0485632
2020-03-27,107255,0,1,Fri,1,35.0665728
2020-03-24,210453,2,1,Tue,1,45.7167872
2020-03-14,1678652,0,1,Sat,3,183.7903872
2020-03-05,347732,0,1,Thu,1,49.129472
2020-03-23,228007,0,2,Mon,1,118.5701888
2020-03-26,207758,0,1,Thu,1,73.5623168
2020-03-23,537229,0,1,Mon,1,62.8214272
2020-03-01,259356,0,1,Sun,1,82.1187584
2020-03-18,698958,0,1,Wed,1,74.1970432
2020-03-14,192003,0,1,Sat,2,131.7757952
2020-03-20,324507,0,1,Fri,1,98.1435392
2020-03-08,108013,1,1,Sun,1,67.470592
2020-03-16,208082,0,1,Mon,1,105.8179584
2020-03-07,584427,0,1,Sat,1,69.5890944
2020-03-14,164855,0,5,Sat,1,286.1379584
2020-03-14,111577,6,1,Sat,1,63.926016
2020-03-01,120577,1,1,Sun,1,106.7247104
2020-03-05,109725,1,4,Thu,1,234.7168768
2020-03-17,112743,0,1,Tue,1,69.8363904
2020-03-04,827979,0,1,Wed,1,105.7767424
2020-03-13,128570,1,1,Fri,1,55.6745728
2020-03-07,139453,55,2,Sat,1,541.3556736
2020-03-21,108335,0,1,Sat,1,58.6586112
2020-03-15,251361,0,3,Sun,1,448.9823744
2020-03-03,152585,10,1,Tue,1,88.1280512
2020-03-03,197498,1,1,Tue,1,46.6482688
2020-03-22,132608,0,1,Sun,1,65.4757376
2020-03-26,208816,0,1,Thu,5,465.988096
2020-03-04,118625,0,1,Wed,1,31.9176704
2020-03-28,264469,0,1,Sat,1,91.7385728
2020-03-05,919552,0,1,Thu,1,87.3531904
2020-03-25,140524,0,1,Wed,1,69.366528
2020-03-02,125829,0,1,Mon,1,60.3072512
2020-03-20,111949,1,1,Fri,1,66.5803264
2020-03-26,250314,1,2,Thu,1,87.1141376
2020-03-04,333328,7,1,Wed,1,79.876608
2020-03-15,258577,0,1,Sun,1,92.2331648
2020-03-13,160526,0,1,Fri,1,106.1312
2020-03-15,145304,0,1,Sun,1,91.334656
2020-03-13,198651,0,1,Fri,1,73.2985344
2020-03-05,457449,1,1,Thu,1,82.061056
2020-03-23,114938,0,2,Mon,1,116.5258752
2020-03-02,109276,0,1,Mon,1,97.8632704
2020-03-06,558921,7,2,Fri,1,348.3906048
2020-03-28,260451,0,1,Sat,1,68.0228864
2020-03-21,397194,0,1,Sat,2,137.9829248
2020-03-13,132363,0,1,Fri,1,91.7138432
2020-03-15,568696,0,1,Sun,1,82.679296
2020-03-11,161184,0,1,Wed,1,100.3279872
2020-03-21,264704,0,1,Sat,3,167.4523648
2020-03-19,465490,0,1,Thu,1,80.9976832
2020-03-11,112353,0,1,Wed,1,93.189376
2020-03-13,112976,1,1,Fri,1,84.7895552
2020-03-05,209354,5,1,Thu,1,80.907008
2020-03-16,147953,0,1,Mon,1,60.216576
2020-03-15,107255,1,6,Sun,1,201.0186752
2020-03-19,130900,0,1,Thu,1,41.2242432
2020-03-09,133898,1,2,Mon,1,104.3671552
2020-03-14,152676,0,1,Sat,1,72.1857024
2020-03-24,240254,0,5,Tue,1,218.7992576
2020-03-30,116499,0,2,Mon,1,124.225024
